ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF),Treasury,Fixed Income,0.12,France,,,,,,,,,,,,,,,,,,,,
IAGG,KOREA (REPUBLIC OF),Treasury,Fixed Income,0.12,Korea (South),,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.12,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.12,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,KOREA (REPUBLIC OF),Treasury,Fixed Income,0.12,Korea (South),,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,France,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,France,,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.12,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.12,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,EXPORT-IMPORT BANK OF CHINA,Government Related,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #346,Treasury,Fixed Income,0.12,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.12,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,France,,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.11,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.11,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF),Treasury,Fixed Income,0.11,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 2YR #417,Treasury,Fixed Income,0.11,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,KOREA (REPUBLIC OF),Treasury,Fixed Income,0.11,Korea (South),,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.11,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.11,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.11,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,KOREA (REPUBLIC OF),Treasury,Fixed Income,0.11,Korea (South),,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.11,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.11,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF),Treasury,Fixed Income,0.11,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.11,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 20YR #155,Treasury,Fixed Income,0.11,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,NETHERLANDS (KINGDOM OF),Treasury,Fixed Income,0.11,Netherlands,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF),Treasury,Fixed Income,0.11,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.11,France,,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.11,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.11,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.11,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.11,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.11,France,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 20YR #150,Treasury,Fixed Income,0.11,Japan,,,,,,,,,,,,,,,,,,,,
